LOC,STATEMENTS,PUBATTR,OUTCOMMENTEDBLOCKS,MMCCC,MULTIPLESTATEMENTS,MAXSTMTSSEQ,RLOC,METHODS,NL1+,PUBMETHODS,NL3+,#NOTE,FILENAME,CHARS140+,MNL,NL,INTERNALMETHODS,NL0,FRIENDCLASS,NL1,#HINT,NL3,NL2,OUTCOMMENTEDLOC,NONISOLATEDBRACES,CPPCHECKISSUES,PREPROCESSORDIRECTIVES,#TODO,INCLUDES,#FIXME,MRLOCNAME,CLASSES,MRLOC,#HACK,MMCCCNAME,MNLNAME,COMMENTS,NL2+,MAXOUTCOMMENTEDBLOCK,NL5,NL4,NL5+,NL4+,NL0+,NL6,NL6+,TESTCOVERAGE,NL7,NL7+,NL8,NL8+,NL9+,NL9,FUNCTIONS
14,1,0,0,1,0,1,5,2,1,0,,0,"/trunk/hpi/apps/visualreengineering/history/deleteoperation.cpp",0,1,1,0,0,0,1,0,,,0,2,,0,0,1,0,"DeleteOperation::toString",0,3,0,DeleteOperation::DeleteOperation,"DeleteOperation::DeleteOperation",1,,0,,,,,,,,,,,,,,,
14,1,0,0,1,0,1,5,2,1,0,,0,"/trunk/hpi/apps/visualreengineering/history/createoperation.cpp",0,1,1,0,0,0,1,0,,,0,2,,0,0,1,0,"CreateOperation::toString",0,3,0,CreateOperation::CreateOperation,"CreateOperation::CreateOperation",1,,0,,,,,,,,,,,,,,,
26,6,0,0,0,0,5,11,0,5,3,,0,"/trunk/hpi/apps/visualreengineering/history/operation.h",0,,1,1,1,0,5,0,,,0,1,,1,0,3,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
26,7,1,0,1,0,3,10,1,6,4,,0,"/trunk/hpi/apps/visualreengineering/history/history.h",0,1,2,0,1,0,5,0,,1,0,2,,1,0,3,0,"void addOperation",1,1,0,void addOperation,"void addOperation",1,1,0,,,,,,,,,,,,,,,
14,1,0,0,1,0,1,5,2,1,0,,0,"/trunk/hpi/apps/visualreengineering/history/moveoperation.cpp",0,1,1,0,0,0,1,0,,,0,2,,0,0,1,0,"MoveOperation::toString",0,3,0,MoveOperation::MoveOperation,"MoveOperation::MoveOperation",1,,0,,,,,,,,,,,,,,,
20,5,0,0,0,0,4,9,0,4,2,,0,"/trunk/hpi/apps/visualreengineering/history/deleteoperation.h",0,,1,0,1,0,4,0,,,0,1,,1,0,1,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
14,1,0,0,1,0,1,5,2,1,0,,0,"/trunk/hpi/apps/visualreengineering/history/renameoperation.cpp",0,1,1,0,0,0,1,0,,,0,2,,0,0,1,0,"RenameOperation::toString",0,3,0,RenameOperation::RenameOperation,"RenameOperation::RenameOperation",1,,0,,,,,,,,,,,,,,,
20,5,0,0,0,0,4,9,0,4,2,,0,"/trunk/hpi/apps/visualreengineering/history/createoperation.h",0,,1,0,1,0,4,0,,,0,1,,1,0,1,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
21,6,0,0,0,0,5,10,0,5,2,,0,"/trunk/hpi/apps/visualreengineering/history/moveoperation.h",0,,1,0,1,0,5,0,,,0,1,,1,0,1,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
16,1,0,0,1,0,1,7,2,1,0,,0,"/trunk/hpi/apps/visualreengineering/history/splitoperation.cpp",1,1,1,0,0,0,1,0,,,0,2,,0,0,1,0,"SplitOperation::toString",0,3,0,SplitOperation::SplitOperation,"SplitOperation::SplitOperation",1,,0,,,,,,,,,,,,,,,
21,6,0,0,0,0,5,10,0,5,2,,0,"/trunk/hpi/apps/visualreengineering/history/renameoperation.h",0,,1,0,1,0,5,0,,,0,1,,1,0,1,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
163,103,0,0,5,14,65,102,6,103,0,1,0,"/trunk/hpi/apps/bundleviewbenchmark/bundleviewbenchmark.cpp",0,3,3,0,0,0,93,0,1,9,0,9,,6,0,11,0,"BundleViewBenchmark::createHierarchy",0,61,0,BundleViewBenchmark::setEdgeRenderingTechnique,"BundleViewBenchmark::createHierarchy",2,10,0,,,,,,,,,,,,,,,
41,11,1,0,0,0,5,19,0,9,3,,0,"/trunk/hpi/apps/bundleviewbenchmark/bundleviewbenchmark.h",0,,2,2,2,0,9,0,,0,0,3,,1,0,4,0,0,1,0,0,0,,1,0,0,,,,,,,,,,,,,,,
18,4,0,1,1,0,4,5,1,4,0,,0,"/trunk/hpi/apps/bundleviewbenchmark/main.cpp",0,1,1,0,0,0,4,0,,,0,0,,0,0,2,0,"int main",0,6,0,int main,"int main",5,,5,,,,,,,,,,,,,,,
54,18,0,0,3,0,14,27,2,18,0,,0,"/trunk/hpi/apps/fpmenuusage/main.cpp",0,2,2,0,0,0,16,0,,2,0,0,,0,0,6,0,"int main",0,22,0,int main,"int main",0,2,0,,,,,,,,,,,,,,,
13,3,1,0,0,0,2,5,0,2,2,,0,"/trunk/hpi/apps/graphvisualizer/orbitingmanipulator.h",0,,1,0,1,0,2,0,,,0,1,,0,0,3,0,0,1,0,0,0,,0,,0,,,,,,,,,,,,,,,
265,161,0,0,7,16,65,173,8,161,0,25,0,"/trunk/hpi/apps/graphvisualizer/graphvisualizer.cpp",0,3,3,0,0,0,95,0,25,41,0,8,,1,0,23,0,"GraphVisualizer::createHierarchy",0,61,0,GraphVisualizer::changeLayout,"GraphVisualizer::createHierarchy",2,66,0,,,,,,,,,,,,,,,
23,9,0,0,0,0,8,12,0,8,6,,0,"/trunk/hpi/apps/graphvisualizer/deactivationeventhandlerdecorator.h",0,,1,0,1,0,8,0,,,0,1,,0,0,2,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
65,17,1,0,0,0,13,30,0,13,2,,0,"/trunk/hpi/apps/graphvisualizer/graphvisualizer.h",0,,1,5,4,0,13,0,,,0,2,,3,0,12,0,0,1,0,0,0,,2,,0,,,,,,,,,,,,,,,
22,5,0,1,2,0,2,7,1,5,0,,0,"/trunk/hpi/apps/graphvisualizer/main.cpp",0,2,2,0,0,0,4,0,,1,0,1,,0,0,2,0,"int main",0,9,0,int main,"int main",5,1,5,,,,,,,,,,,,,,,
14,2,0,0,3,0,2,6,2,2,0,,0,"/trunk/hpi/apps/graphvisualizer/orbitingmanipulator.cpp",1,1,1,0,0,0,2,0,,,0,0,,0,0,1,0,"OrbitingManipulator::handle",0,6,0,OrbitingManipulator::handle,"OrbitingManipulator::OrbitingManipulator",1,,0,,,,,,,,,,,,,,,
37,8,0,0,2,0,2,16,6,8,0,,0,"/trunk/hpi/apps/graphvisualizer/deactivationeventhandlerdecorator.cpp",1,2,2,0,0,0,6,0,,2,0,1,,0,0,1,0,"DeactivationEventHandlerDecorator::handle",0,8,0,DeactivationEventHandlerDecorator::handle,"DeactivationEventHandlerDecorator::handle",0,2,0,,,,,,,,,,,,,,,
135,54,0,0,11,1,4,79,4,54,0,14,0,"/trunk/hpi/apps/sdmetricsimporter/sdmetricsimporter.cpp",1,4,4,0,0,0,20,0,10,20,1,22,,0,0,10,0,"void loadMetricFile",0,47,0,void loadMetricFile,"void loadMetricFile",7,34,0,,4,,4,,,,,,,,,,,
170,80,0,0,5,0,15,108,9,80,0,10,0,"/trunk/hpi/apps/ificodevis/ificodevis.cpp",0,3,3,0,0,0,45,0,10,25,1,22,,0,0,16,0,"IfiCodeVis::readFunctions",0,27,0,IfiCodeVis::readRelations,"IfiCodeVis::getOrCreatePathEntry",2,35,0,,,,,,,,,,,,,,,
22,5,0,1,2,0,3,7,1,5,0,,0,"/trunk/hpi/apps/ificodevis/main.cpp",0,2,2,0,0,0,4,0,,1,0,1,,0,0,2,0,"int main",0,9,0,int main,"int main",5,1,5,,,,,,,,,,,,,,,
13,2,0,0,1,0,1,5,2,2,0,,0,"/trunk/hpi/apps/ificodevis/attributemapper.cpp",0,1,1,0,0,0,2,0,,,0,3,,0,0,1,0,"AttributeMapper::colorForEdgeStart",0,3,0,AttributeMapper::colorForEdgeStart,"AttributeMapper::colorForEdgeStart",1,,0,,,,,,,,,,,,,,,
54,21,1,0,0,0,18,28,0,18,2,,0,"/trunk/hpi/apps/ificodevis/ificodevis.h",0,,1,6,3,0,18,0,,,0,3,,1,0,5,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
14,3,1,0,0,0,2,5,0,2,2,,0,"/trunk/hpi/apps/ificodevis/attributemapper.h",0,,1,0,1,0,2,0,,,0,1,,1,0,1,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
31,8,1,0,0,0,5,14,0,5,2,,0,"/trunk/hpi/apps/itp_cobol_codevis/itpcodevis.h",0,,1,0,3,0,5,0,,,0,3,,1,0,1,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
